Name,Icon,Description,Status,Price,Pairs
Trap Hole,Normal,When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster,Unlimited,2000,canDestroyMonsterSummonWithATK=1001_0
Mirror Force,Normal,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,Unlimited,2000,destroyAttackMonsters=6_0
Magic Cylinder,Normal,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK.",Unlimited,2000,canNegateWholeAttack=1_0*canAttackLP=1_0
Mind Crush,Normal,"Declare 1 card name; if that card is in your opponent's hand, they must discard all copies of it, otherwise you discard 1 random card.",Unlimited,2000,canDestroyFromDeckAndHand=4_0
Torrential Tribute,Normal,When a monster(s) is Summoned: Destroy all monsters on the field.,Unlimited,2000,canDestroyAll=1_0
Time Seal,Normal,Skip the Draw Phase of your opponent's next turn.,Limited,2000,canNotDraw=2_0
Negate Attack,Counter,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, then end the Battle Phase.",Unlimited,3000,canNegateWholeAttack=1_1
Solemn Warning,Counter,"When a monster(s) would be Summoned, OR when a Spell/Trap Card, or monster effect, is activated that includes an effect that Special Summons a monster(s): Pay 2000 LP; negate the Summon or activation, and if you do, destroy it.",Unlimited,3000,costLP=2001_0*negateASummon=1_0
Magic Jamamer,Counter,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",Unlimited,3000,discardACard=2_0*negateSpellActivation=1_0
Call of The Haunted,Continuous,"Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",Unlimited,3500,canSummonFromGY=1_0
